english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
a,一（个）,小学,/ə/,This is a pen.,,这是一支钢笔,I see a cat.,,我看见一只猫
an,一（个）,小学,/ən/,This is an apple.,,这是一个苹果,She has an umbrella.,,她有一把伞
apple,苹果,小学,/ˈæpl/,I like apples.,apples,我喜欢苹果,The apple is red.,apple,这个苹果是红色的
banana,香蕉,小学,/bəˈnɑːnə/,Bananas are yellow.,Bananas,香蕉是黄色的,I eat a banana.,banana,我吃一根香蕉
bear,熊,小学,/beə(r)/,The bear is big.,bear,这只熊很大,I saw a bear in the zoo.,bear,我在动物园看到一只熊
bed,床,小学,/bed/,I sleep on the bed.,bed,我在床上睡觉,Make your bed.,bed,整理你的床铺
big,大的,小学,/bɪɡ/,The elephant is big.,big,大象很大,This is a big house.,big,这是一栋大房子
bird,鸟,小学,/bɜːd/,The bird can fly.,bird,鸟会飞,A bird is singing.,bird,一只鸟在唱歌
black,黑色的,小学,/blæk/,My pen is black.,black,我的钢笔是黑色的,The cat is black and white.,black,这只猫是黑白相间的
blue,蓝色的,小学,/bluː/,The sky is blue.,blue,天空是蓝色的,Her eyes are blue.,blue,她的眼睛是蓝色的
book,书,小学,/bʊk/,I read a book.,book,我读一本书,This book is interesting.,book,这本书很有趣
boy,男孩,小学,/bɔɪ/,He is a boy.,boy,他是一个男孩,The boy is playing football.,boy,那个男孩在踢足球
bread,面包,小学,/bred/,I eat bread for breakfast.,bread,我早餐吃面包,Would you like some bread?,bread,你想要一些面包吗？
breakfast,早餐,小学,/ˈbrekfəst/,I have breakfast at 7.,breakfast,我七点吃早餐,Breakfast is ready.,Breakfast,早餐准备好了
brother,兄弟,小学,/ˈbrʌðə(r)/,This is my brother.,brother,这是我的兄弟,My brother is tall.,brother,我的兄弟很高
bus,公共汽车,小学,/bʌs/,I go to school by bus.,bus,我坐公交上学,The bus is coming.,bus,公共汽车来了
cake,蛋糕,小学,/keɪk/,I like cake.,cake,我喜欢蛋糕,This cake is delicious.,cake,这个蛋糕很好吃
can,能；会,小学,/kæn/,I can swim.,can,我会游泳,Can you help me?,Can,你能帮我吗？
car,小汽车,小学,/kɑː(r)/,This is my father's car.,car,这是我爸爸的车,We drive a car to the park.,car,我们开车去公园
cat,猫,小学,/kæt/,The cat is cute.,cat,猫很可爱,My cat likes milk.,cat,我的猫喜欢牛奶
chair,椅子,小学,/tʃeə(r)/,Sit on the chair.,chair,坐在椅子上,There are four chairs.,chairs,有四把椅子
chicken,鸡肉；小鸡,小学,/ˈtʃɪkɪn/,I like chicken.,chicken,我喜欢鸡肉,The chicken is small.,chicken,这只小鸡很小
child,孩子,小学,/tʃaɪld/,He is a child.,child,他是一个孩子,Every child is special.,child,每个孩子都是特别的
children,孩子们,小学,/ˈtʃɪldrən/,The children are happy.,children,孩子们很开心,Children love to play.,Children,孩子们喜欢玩耍
class,班级；课,小学,/klɑːs/,I have English class.,class,我有英语课,Our class has 20 students.,class,我们班有20名学生
classroom,教室,小学,/ˈklɑːsruːm/,This is our classroom.,classroom,这是我们的教室,We clean the classroom.,classroom,我们打扫教室
clock,时钟,小学,/klɒk/,The clock is on the wall.,clock,时钟在墙上,Look at the clock.,clock,看时钟
coat,外套,小学,/kəʊt/,Put on your coat.,coat,穿上你的外套,My coat is warm.,coat,我的外套很暖和
cold,冷的,小学,/kəʊld/,It's cold today.,cold,今天很冷,The water is cold.,cold,水是冷的
colour,颜色,小学,/ˈkʌlə(r)/,What colour is it?,colour,它是什么颜色,My favourite colour is green.,colour,我最喜欢的颜色是绿色
cook,厨师；烹饪,小学,/kʊk/,My mother can cook.,,我妈妈会做饭,He is a good cook.,,他是个好厨师
cool,凉爽的；酷,小学,/kuːl/,It's cool in autumn.,,秋天很凉爽,You look cool in that hat.,,你戴那顶帽子看起来很酷
cow,奶牛,小学,/kaʊ/,The cow gives milk.,,奶牛产奶,The cow is eating grass.,,奶牛正在吃草
cry,哭,小学,/kraɪ/,Don't cry.,,别哭,The baby cries at night.,cries,宝宝晚上会哭
cup,杯子,小学,/kʌp/,This is my cup.,,这是我的杯子,I drink tea from a cup.,,我用杯子喝茶
cute,可爱的,小学,/kjuːt/,The dog is cute.,,这只狗很可爱,She has a cute doll.,,她有一个可爱的娃娃
dad,爸爸,小学,/dæd/,I love my dad.,,我爱我的爸爸,My dad drives me to school.,,我爸爸开车送我去学校
dance,跳舞,小学,/dæns/,She can dance.,,她会跳舞,We dance at the party.,,我们在派对上跳舞
day,天；白天,小学,/deɪ/,A day has 24 hours.,,一天有24小时,It is a sunny day.,,今天是个晴天
desk,书桌,小学,/desk/,My bag is on the desk.,,我的书包在书桌上,I do my homework at the desk.,,我在书桌上做作业
